NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
1561;PRIMERA;GRUPO DE ACCION LOCAL SAJA-NANSA;EL MOLINO, S/N. LAS CUEVAS, CP: 39573, ROIZ, CANTABRIA;819;19/04/2005;
1567;PRIMERA;CULTURAL Y DEPORTIVA DE RIOTUERTO;CARRETERA GENERAL ALISAS, Nº 34; SITIO DE MALIRO DEL BARRIO DE ARRIBA DE RIOTUERTO, CP: 39720, BARRIO DE ARRIBA, CANTABRIA;;21/01/1992
1568;PRIMERA;MUSICAL VOLUMEN;LOCALES DE LA RUA 13 BIS. Bº DE URIDALES, ANTIGUA ESCUELA PARVULARIO S/N, CP: 39700, CASTRO URDIALES, CANTABRIA;321;22/01/1992;
1579;PRIMERA;CORAL AIRES DEL CASTRO DE HINOJEDO;Bº LAS ESCUELAS S/N, CP: 39350, HINOJEDO, CANTABRIA;;05/02/1992;
1590;PRIMERA;AGRUPACION CORAL SALESIANA DON BOSCO;C/ GENERAL DAVILA, Nº 73, CP: 39006, SANTANDER, CANTABRIA;125;05/03/1992;
1594;PRIMERA;DE PENSIONISTAS Y JUBILADOS DEL VALLE DE CAMARGO;AVDA. LA LIBERTAD Nº 3 , CP: 39600, MURIEDAS, CANTABRIA;;10/03/1992;
1595;PRIMERA;DE MAYORES DE SIETE VILLAS;Bº LA IGLESIA S/N, CP: 39191, GÜEMES, CANTABRIA;;17/03/1992;
1598;PRIMERA;CABO DE AJO;C/ PEREZ GALDOS, ESQUINA ORTIZ OTAÑEZ - CABO DE AJO, CP: 39740, SANTOÑA, CANTABRIA;;18/03/1992;
1599;PRIMERA;CULTURAL DEPORTIVA SAN PELAYO;PLAZA MAYOR, S/Nº, CP: 39211, NAVEDA, CANTABRIA;;30/03/1992;
1611;PRIMERA;PARA LA DEFENSA DEL PATRIMONIO BIBLIOGRAFICO Y DOCUMENTAL DE CANTABRIA; EDIFICIO INTERFACULTATIVO ,AVDA. LOS CASTROS, S/N, CP: 39005, SANTANDER, CANTABRIA;124;16/04/1992;
1626;PRIMERA;CANTABRA DE AFECTADOS POR RETINOSIS PIGMENTARIA;AVDA. VICENTE TRUEBA Nº 3 - CHALET 39, CP: 39011, SANTANDER, CANTABRIA;423;22/05/1992;
1630;PRIMERA;DE LA TERCERA EDAD DEL AYUNTAMIENTO DE MOLLEDO;C/ GARCIA LOMAS  S/N , CP: 39430, MOLLEDO, CANTABRIA;;12/09/2003;
1633;PRIMERA;DE LA TERCERA EDAD LA VELILLA;C/ POLIENTES S/Nº., CP: 39250, VILLANUEVA DE LA NIA, CANTABRIA;;04/06/1992;
1635;PRIMERA;DE  TERCERA EDAD LA NOGALERA;BAJOS DEL AYTO. C/. LA CRUZ  S/N., CP: 39840, AMPUERO, CANTABRIA;;05/06/1992;
1637;PRIMERA;DE LA TERCERA EDAD DEL AYUNTAMIENTO DE HERRERIAS;PUENTE ARRUDO, S/Nº, CP: 39550, BIELVA, CANTABRIA;;05/06/1992;
1642;PRIMERA;CULTURAL MAGOSTA;Bº LA COLEGIATA, Nº 30, CP: 39660, SOCOBIO, CANTABRIA;129;22/06/1992;
1643;PRIMERA;TUNA DE NAUTICA DE SANTANDER;NICOLAS SALMERON Nº 14-5ºB, CP: 39009, SANTANDER, CANTABRIA;125;22/06/1992;
1657;PRIMERA;DE MUJERES VIRGEN DEL MORAL;VALDEIGUÑA, S/N, CP: 39340, SAN CRISTOBAL, CANTABRIA;;31/07/1992;
1662;PRIMERA;DE LA TERCERA EDAD DE ARNUERO;PLAZA DEL AYUNTAMIENTO, BARRIO PALACIO, S/Nº, CP: 39194, ARNUERO, CANTABRIA;;17/08/1992;
1663;PRIMERA;DE LA TERCERA EDAD DE ESCALANTE;PLAZA DE LA VILLA,  Nº 1, CP: 39795, ESCALANTE, CANTABRIA;;17/08/1992;
1664;PRIMERA;DE LA TERCERA EDAD DE ARGOÑOS;C/ TRAVESIA TRASMIERA Nº 2, CP: 39197, ARGOÑOS, CANTABRIA;;17/08/1992;
1665;PRIMERA;TERCERA EDAD DE NOJA;AYUNTAMIENTO DE NOJA. PLAZA DE LA VILLA, S/N, CP: 39180, NOJA, CANTABRIA;;19/08/1992;
1666;PRIMERA;DE LA TERCERA EDAD DE BAREYO;AVDA. BENEDICTO RUIZ ,S/Nº, CP: 39170, AJO, CANTABRIA;;19/08/1992;
1667;PRIMERA;DE LA TERCERA EDAD DE MERUELO;C/ PLAZA DEL MERCADO S/N, CP: 39192, MERUELO, CANTABRIA;;19/08/1992;
1668;PRIMERA;CULTURAL SARDINERO;COLONIA DE LOS PINARES, BLOQUE 10 - BAJO, SANTANDER, CANTABRIA;;25/08/1992;
1672;PRIMERA;CORO VOCES BLANCAS DE TORRELAVEGA;CENTRO SOCIAL DE MAYORES. AVDA. DE LA CONSTITUCION, Nº 12, CP: 39300, TORRELAVEGA, CANTABRIA;;06/03/1991;
1673;PRIMERA;SOCIEDAD FILATELICA Y NUMISMATICA SANTOÑESA; PLAZA GENERAL MOLA Nº 1, CP: 39740, SANTOÑA, CANTABRIA;121;06/03/1991;
1677;PRIMERA;CULTURAL TEDRA;AVDA. LIBERTAD, Nº 1 - 4º IZQ., CP: 39600, MURIEDAS, CANTABRIA;;29/03/1990;
1682;PRIMERA;CENTRO MONTAÑES DE INVESTIGACION Y DESARROLLO EMPRESARIAL CEMIDE;C/ RUAMAYOR, Nº 4, CP: 39002, SANTANDER, CANTABRIA;;21/09/1992;
1684;PRIMERA;CANTABRIA ACOGE;C/ MONTE CALOCA, S/N, CP: 39008, SANTANDER, CANTABRIA;;25/09/1992;
1693;PRIMERA;GRUPO ALDABA TEATRO;CASA CULTURA DOCTOR VELASCO, C/ LOPEZ SEÑA, Nº 6, CP: 39770, LAREDO, CANTABRIA;121;17/11/1992;
1697;PRIMERA;DE VECINOS SIXTO OBRADOR;C/ CAJO 11 - GRUPO SIXTO OBRADOR Nº 3 BAJO, CP: 39011, SANTANDER, CANTABRIA;;20/11/1992;
1699;PRIMERA;REINOSA TRES MARES RADIO;AVDA. PUENTE DE CARLOS III, Nº 23, CP: 39200, REINOSA, CANTABRIA;;27/11/1992;
1700;PRIMERA;CANTABRA PARA LA LUCHA CONTRA LA FIBROSIS QUISTICA;AVDA. HERRERA ORIA, Nº 63 - INTERIOR, CP: 39011, SANTANDER, CANTABRIA;423;24/11/1992;
1701;PRIMERA;DE LA TERCERA EDAD DE CORVERA DE TORANZO;C/. CRTRA. GENERAL Nº 1  , CP: 39699, SAN VICENTE DE TORANZO, CANTABRIA;;01/12/1992;
1702;PRIMERA;VECINOS CAPITAN PALACIOS AMIGOS DE LA MARGA;C/ CAPITAN PALACIOS, Nº 2, CP: 39009, SANTANDER, CANTABRIA;844;16/12/1992;
1706;PRIMERA;DE HERMANAMIENTO ENTRE LOS MUNICIPIOS DE PUENTE VIESGO Y LES EYZIES DE TAYAC-SIREUIL;Bº LA PRADA Nº 223, CP: 39679, VARGAS, CANTABRIA;;07/01/1993;
1708;PRIMERA;CORAL SAN MIGUEL;C/ SANTA BARBARA  Nº 246 , CP: 39530, PUENTE SAN MIGUEL , CANTABRIA;125;12/01/1993;
1718;PRIMERA;PASIEGA DE DESARROLLO SOCIAL Y CULTURAL;VILLA PASIEGA DE VEGA DE PAS, Bº CAMPOGIRO CALLE SAN ANTONIO Nº 3, CP: 39685, VEGA DE PAS, CANTABRIA;;02/02/1993;
1719;PRIMERA;CUIN, ATENCION Y AYUDA DE LA INFANCIA Y JUVENTUD DE CANTABRIA;Bº LA IGLESIA, Nº 7, CP: 39120, LIENCRES, CANTABRIA;;04/02/1993;
1720;PRIMERA;PEÑA  MADRIDISTA NUEVA CIUDAD;ARCADIO GONZÁLEZ, S/N, CP: 39300, TORRELAVEGA, CANTABRIA;;08/02/1993;
1727;PRIMERA;RECREATIVA, DEPORTIVA Y CULTURAL EL BOLINCHE;CARRETERA GENERAL, S/N, CP: 39679, LAS PRESILLAS, CANTABRIA;925;26/02/1993;
1729;PRIMERA;DESARROLLO TERRITORIAL DE CAMPOO-LOS VALLES;C/ CASIMIRO SAINZ Nº 44, 1º IZDA., CP: 39200, MATAMOROSA, CANTABRIA;;01/03/1993;
1731;PRIMERA;UNION DE RADIOAFICIONADOS DE SANTANDER;C/ LOS ESTUDIANTES, Nº 20 - 4º DCHA., CP: 39006, SANTANDER, CANTABRIA;836;09/03/1993;
1732;PRIMERA;DE FAMILIARES DE ENFERMOS DE ALZHEIMER DE CANTABRIA;C/ ROSARIO DE ACUÑA Nº 7, BAJO, CP: 39008, SANTANDER, CANTABRIA;;23/03/1993;
1734;PRIMERA;CORAL MATEO ESCAGEDO SALMON;CASA DE CULTURA FRANCISCO DIAZ CALLE GENOZ Nº 11, CP: 39608, CACICEDO, CANTABRIA;125;31/03/1993;
1736;PRIMERA;MUJERES MAYORES DE MERUELO;PLAZA DEL MERCADO S/N, CP: 39192, MERUELO, CANTABRIA;;02/04/1993;
1741;PRIMERA;PEÑA BARCELONISTA ALTAMIRA;C/ GENERAL DAVILA, Nº 208, CP: 39006, SANTANDER, CANTABRIA;;14/04/1993;
1743;PRIMERA;CULTURAL CANTABRIA NUESTRA;PASEO PEREDA, Nº 19 - 5º C, CP: 39004, SANTANDER, CANTABRIA;;21/04/1993;
1747;PRIMERA;CULTURAL Y TAURINA PEÑA LA PERA;PUB LA PERA. C/ PERINES, Nº 35, CP: 39007, SANTANDER, CANTABRIA;128;22/04/1993;
1748;PRIMERA;CULTURAL LA MAYA;C/ CORRAMOR, S/N, CP: 39420, PUJAYO, CANTABRIA;129;04/05/1993;
1750;PRIMERA;CANTABRA DE AMIGOS DE CUBA;C/ GENERAL DAVILA, Nº 306 B1 - 7º C, CP: 39007, SANTANDER, CANTABRIA;129;20/05/1993;
1757;PRIMERA;PEÑA TAURINA JULIO NORTE;CENTRO CIVICO LEONARDO TORRES QUEVEDO 3 A, CP: 39610, EL ASTILLERO , CANTABRIA;;04/06/1993;
1760;PRIMERA;DE MUJERES GITANAS PROGRESISTAS DE CANTABRIA;C/ CARDENAL HERRERA ORIA, Nº 59, CP: 39009, SANTANDER, CANTABRIA;;08/06/1993;
1761;PRIMERA;DE CENTROS Y SERVICIOS DE ATENCION A MINUSVALIDOS FERNANDO ARCE;AVDA. FERNANDO ARCE, Nº 18, CP: 39300, TORRELAVEGA, CANTABRIA;;11/06/1993;
1768;PRIMERA;SOCIEDAD DE PEDIATRIA EXTRAHOSPITALARIA Y ATENCION PRIMARIA (SPEAP) DE CANTABRIA;COLEGIO OFICIAL DE MEDICOS.C/ GENERAL MOLA, Nº 33 - BAJO DCHA., CP: 39004, SANTANDER, CANTABRIA;;09/07/1993;
1769;PRIMERA;DE ARTISTAS DE SANTANDER Y CANTABRIA;C/ LIMON, Nº 7 - 1º, CP: 39008, SANTANDER, CANTABRIA;;12/07/1993;
1770;PRIMERA;SCHOLA GREGORIANA DE CANTABRIA;PARROQUIA DE LA BIEN APARECIDA - ALTO DE LOS LEONES S/N, CP: 39008, SANTANDER, CANTABRIA;125;13/07/1993;
1774;PRIMERA;CANTABRA DE TERAPIA FAMILIAR;C/ MAGALLANES, Nº 16 - 1º A, CP: 39008, SANTANDER, CANTABRIA;;14/07/1993;
1777;PRIMERA;SOCIO-CULTURAL LA VENTA;Bº ROMANZANEDO, Nº 1, CP: 39600, REVILLA DE CAMARGO, CANTABRIA;;29/11/1993;
1778;PRIMERA;VIUDAS LA ESPERANZA DE MATAMOROSA;ANTIGUAS ESCUELAS DE MATAMOROSA C/. SAN MIGUEL Nº 4, CP: 39200, MATAMOROSA, CANTABRIA;129;19/07/1993;
1784;PRIMERA;MURIAGO;C/ VIRGEN DE AFRICA Nº 19, CP: 39400, LOS CORRALES DE BUELNA, CANTABRIA;;03/08/1993;
1785;PRIMERA;UNION DE RADIOAFICIONADOS DE CANTABRIA (U.R.C.);URB. MONTE CORBAN, Nº 62, CP: 39110, SANCIBRIAN, CANTABRIA;;03/08/1993;
1786;PRIMERA;CENTRO RIOJANO EN CANTABRIA;C/ SAN FERNANDO, Nº 16 - 2, ENTRESUELO 9, CP: 39010, SANTANDER, CANTABRIA;;04/08/1993;
1787;PRIMERA;ROTARY CLUB DE SANTANDER;AVDA. GARCIA LAGO S/N - HOTEL CHIQUI, CP: 39005, SANTANDER, CANTABRIA;;10/03/2016;
1788;PRIMERA;AGRUPACION LEBANIEGA;HOTEL CHIQUI,  AVDA. GARCIA LAGO Nº 9, CP: 39005, SANTANDER, CANTABRIA;;11/08/1993;
1789;PRIMERA;RAICES DE CANTABRIA;PLAZA POETA JOSE LUIS HIDALGO, Nº 4 BAJO, CP: 39300, TORRELAVEGA, CANTABRIA;;11/08/1993;
1792;PRIMERA;SOCIEDAD DE PESCA DEPORTIVA  Y RECREO (HERPESCA);PASEO ALBERTO PICO S/N  PUERTO DEPORTIVO, CP: 39009, SANTANDER, CANTABRIA;;18/08/1993;
1793;PRIMERA;CULTURAL RECREATIVA LA MERCED;PLAZA DE LA IGLESIA, S/N, CP: 39764, RADA, CANTABRIA;;24/08/1993;
1807;PRIMERA;PEÑA TAURINA REAL;C/ CALDERON DE LA BARCA, 17 - ESC. A - 2º IZDA., CP: 39002, SANTANDER, CANTABRIA;;20/10/1993;
1813;PRIMERA;CORAL VIRGEN DEL CASTILLO;CORROBARCENO, S/N, CP: 39670, PUENTE VIESGO, CANTABRIA;;25/11/1993;
1823;PRIMERA;CENTRO DE INICIATIVAS TURISTICAS DE ISLA;OFICINA DE TURISMO, AVDA. JUAN ORMAECHEA S/N, CP: 39195, ISLA, CANTABRIA;;23/12/1993;
1825;PRIMERA;CULTURAL SANTIAGO; CALLE TRAVESIA COMANTE VILLAS Nº 7, CP: 39770, LAREDO, CANTABRIA;;17/01/1994;
1830;PRIMERA;PEÑA AUPA RACING;CAFÉ EL ANTIGUO. C/ DEL MONTE, Nº 10, CP: 39001, SANTANDER, CANTABRIA;;07/02/1994;
1831;PRIMERA;CULTURAL TERTULIA SAGO;C/ LA LLAMA, Nº 26 -28 BAJO, CP: 39300, TORRELAVEGA, CANTABRIA;;14/02/1994;
1833;PRIMERA;PEÑA HIJAR;AVDA NAVAL 22, CP: 39200, REINOSA, CANTABRIA;;28/02/1994;
1842;PRIMERA;DE PENSIONISTAS DE VAL DE SAN VICENTE;C/ CARRETERA GENERAL, S/N, CP: 39560, UNQUERA, CANTABRIA;;17/03/1994;
1844;PRIMERA;DE VECINOS RIO LA PILA-AGUAYOS-SAN ANTON;C/ RIO LA PILA Nº 25, 1º IZDA., CP: 39003, SANTANDER, CANTABRIA;;22/03/1994;
1850;PRIMERA;PEÑA LOS VIVIDORES;CAFE-BAR PUNTO Y APARTE C/ SANTA LUCIA Nº 6 , CP: 39710, SANTANDER, CANTABRIA;;28/03/1994;
1854;PRIMERA;DE VECINOS FLORANES;C/ FLORANES Nº 65, 1º IZDA., CP: 39010, SANTANDER, CANTABRIA;;29/03/1994;
1857;PRIMERA;AGRUPACION FOTOGRAFICA SOLVAY;AVDA. ALBERTO I, S/N, CP: 39300, BARREDA, CANTABRIA;;13/04/1994;
1863;PRIMERA;GRUPO DE TRABAJO UBIARCO CENTRO DE ADIESTRAMIENTO;CARRETERA SANTILLANA-SUANCES, KM. 5.5, S/N, CP: 39360, UBIARCO, CANTABRIA;;13/05/1994;
1866;PRIMERA;CULTURAL MUJERES PROGRESISTAS DE ASTILLERO-GUARNIZO;C/ BERNARDO LAVIN, Nº 21 - BAJO, CP: 39610, ASTILLERO, CANTABRIA;;16/05/1994;
1878;PRIMERA;SOCIO CULTURAL DE MUJERES DE LA CAVADA;C/. C. P. LEOPOLDO Y JOSEFA DEL VALLE, S/Nº., CP: 39720, LA CAVADA, CANTABRIA;;06/06/1994;
1879;PRIMERA;CLUB DE TERCERA EDAD DE LIERGANES;PLAZA  MARQUES DE VALDECILLA, CP: 39722, LIERGANES, CANTABRIA;;08/07/1994;
1882;PRIMERA;DE PEÑAS RACINGUISTAS;C/. REAL RACING CLUB S/N. -  CAMPOS SPORT, CP: 39005, SANTANDER, CANTABRIA;;20/06/1994;
1897;PRIMERA;PEÑA TAURINA JOSE MIGUEL ARROYO JOSELITO;C/ SANTA LUCIA, Nº 4 - 1º D, CP: 39003, SANTANDER, CANTABRIA;;29/07/1994;
1898;PRIMERA;BANCO DE ALIMENTOS DE CANTABRIA;C/ FERNANDO DE LOS RIOS Nº 65, CP: 39006, SANTANDER, CANTABRIA;;01/08/1994;
1901;PRIMERA;CULTURAL LA FRAGUA;CTRA. CARRALES/RUERRERO, S/N, CP: 39222, RUCANDIO, CANTABRIA;;04/08/1994;
1902;PRIMERA;CORAL BARQUERA;C/ JOSE MARIA PEREDA, Nº 6 BIS, CP: 39540, SAN VICENTE DE LA BARQUERA, CANTABRIA;;10/09/1994;
1904;PRIMERA;SOCIEDAD ECONOMICA DE AMIGOS DEL PAIS DE LIEBANA;CASA DE CULTURA. C/ DEL SOL, Nº 10, CP: 39570, POTES, CANTABRIA;;04/08/8199;
1905;PRIMERA;CULTURAL Y DEPORTIVA DE LA SERNA DE EBRO; CALLE REAL Nº S/N, CP: 39230, SERNA (LA), CANTABRIA;122;16/08/1994;
1906;PRIMERA;MUNICIPAL DEL PENSIONISTA;C/ RUIZ DE SALAZAR, Nº 46 - BAJO, CP: 39300, TORRELAVEGA, CANTABRIA;;24/08/1994;
1910;PRIMERA;GRUPO BREZO (EDUCACION PARA LA SOLIDARIDAD);Bº SAN FRANCISCO, Nº 5 - 5º, CP: 39007, SANTANDER, CANTABRIA;;31/08/1994;
1911;PRIMERA;GRUPO PRO-SALUD;C/ SAN PEDRO DEL MAR, Nº 26, CP: 39012, SANTANDER, CANTABRIA;;01/09/1994;
1926;PRIMERA;DE VECINOS DE LA ZONA CENTRO SUR DE SANTANDER;C/ CALDERON DE LA BARCA, Nº 18 - 9º, CP: 39002, SANTANDER, CANTABRIA;;29/10/1994;
1930;PRIMERA;ESCUELA DE ARTE DE LOS CORRALES DE BUELNA;Bº LA PONTANILLA, CP: 39400, LOS CORRALES DE BUELNA, CANTABRIA;;08/11/1994;
1933;PRIMERA;DE LESBIANAS, GAIS, TRANSEXUALES Y BISEXUALES DE CANTABRIA;C/ RAMPA DE SOTILEZA, Nº 8 - ENTLO. IZDA., CP: 39002, SANTANDER, CANTABRIA;;15/11/1994;
1943;PRIMERA;CLUB DE OPINION SANTANDER;C/ MARQUES DE LA HERMIDA, Nº 16 ENTRESUELO, CP: 39009, SANTANDER, CANTABRIA;;13/12/1994;
1947;PRIMERA;CULTURAL ACORDES ESPAÑOLES;C/ ALTA, Nº 52 - 6º F, CP: 39008, SANTANDER, CANTABRIA;;23/12/1994;
1952;PRIMERA;ANTIGUOS COMPONENTES COROS Y DANZAS DE SANTANDER;C/ JOAQUIN BUSTAMANTE, Nº 25 - 1º IZQ., CP: 39011, SANTANDER, CANTABRIA;;21/11/1994;
1953;PRIMERA;GRUPO TERCERA FASE;AVDA. DEL BESAYA 21-5º E, CP: 39300, TORRELAVEGA, CANTABRIA;;02/01/1995;
1956;PRIMERA;CANTABRA DE ESCLEROSIS MULTIPLE (ACDEM);C/ GENERAL DAVILA Nº 127, CP: 39007, SANTANDER, CANTABRIA;;17/01/1995;
1958;PRIMERA;CORO MONTAÑES EL SABOR DE LA TIERRUCA;C/ NUESTRA SEÑORA DE BELEN, Nº 39, CP: 39011, SANTANDER, CANTABRIA;;20/12/1994;
1959;PRIMERA;AÑO JUBILAR LEBANIEGO;PASAJE DE PEÑA Nº 2 - 1ª PLANTA, CP: 39008, SANTANDER, CANTABRIA;;26/01/1995;
1960;PRIMERA;PEÑA RACINGUISTA REAL VALLE DE CAYON LUIS FERNANDEZ;MESON EL BOMBA. Bº LA IGLESIANº 193, CP: 39694, SANTA MARIA DE CAYON, CANTABRIA;;03/02/1995;
1961;PRIMERA;PEÑA MADRIDISTA IMPALA;C/ DIVISION AZUL, Nº 8, CP: 39010, SANTANDER, CANTABRIA;;06/02/1995;
1963;PRIMERA;CULTURAL EL TORREON DE HERRERA DE CAMARGO;CASA DE CULTURA DE HERRERA DE CAMARGO. C/ DOCTOR FLEMING, S/N, CP: 39608, HERRERA, CANTABRIA;;08/02/1995;
1965;PRIMERA;CULTURAL DE MAYORES DE SANTA MARIA DE CAYON;Bº/  DE LA IGLESIA S/N., CP: 39694, SANTA MARÍA DE CAYÓN, CANTABRIA;;10/02/1995;
1968;PRIMERA;SOCIEDAD CULTURAL RECREATIVA EL DELFIN;DESENGAÑO, Nº 9, CP: 39740, SANTOÑA, CANTABRIA;;20/02/1995;
1969;PRIMERA;CULTURAL DE MUJERES LA PICOTA DE BOO;ANTIGUAS ESCUELAS DE BOO DE PIÉLAGOS BARRIO SAN JOSE Nº 12, CP: 39478, BOO, CANTABRIA;129;20/02/1995;
1970;PRIMERA;REUNION DE ILUSIONISTAS SANTANDERINOS;HERNAN CORTES 37 3º, CP: 39003, SANTANDER, CANTABRIA;;23/02/1995;
1973;PRIMERA;CULTURAL SAUGA;C/ HELIODORO FERNANDEZ, Nº 27 - 3º DRCHA., CP: 39750, COLINDRES, CANTABRIA;;02/03/1995;
1976;PRIMERA;CULTURAL MALABARACIRCO;AV/. BILBAO Nº 25 - 4º DRCHª., CP: 39300, TORRELAVEGA, CANTABRIA;;13/03/1995;
1978;PRIMERA;DE LA TERCERA EDAD DE CABUERNIGA;PLAZA DEL AYUNTAMIENTO, CP: 39510, VALLE, CANTABRIA;;16/03/1995;
1979;PRIMERA;GRUPO DE RESCATE CON PERRO DE COLINDRES;C/ JARDIN Nº 4, CP: 39750, COLINDRES, CANTABRIA;;17/03/1995;
1983;PRIMERA;FILATELICA Y NUMISMATICA ENTENA- LA SALLE;C/. CAMILO ALONSO VEGA Nº 33, CP: 39007, SANTANDER, CANTABRIA;;24/03/1995;
1985;PRIMERA;CULTURAL VILLA DE NOJA;AVDA. SANTANDER S/N. EDIFICIO CASA DE CULTURA MUNICIPAL, CP: 39180, NOJA, CANTABRIA;;04/04/1995;
1987;PRIMERA;ESTRYMENS;Bº SAN LORENZO, Nº 2 - EDIFICIO SANTA ANA, CP: 39770, LAREDO, CANTABRIA;;04/04/1995;
1988;PRIMERA;DE VECINOS CABILDO DE ARRIBA;PARROQUIA DE NUESTRA SEÑORA DE LA CONSOLACIÓN, CP: 39008, SANTANDER, CANTABRIA;;13/04/1995;
1989;PRIMERA;SANTANDER CONVENTION BUREAU;OFICINA DE TURISMO. JARDINES DE PEREDA, S/N, CP: 39003, SANTANDER, CANTABRIA;;17/04/1995;
1995;PRIMERA;CULTURAL SAN PELAYO;C/ CASIMIRIO SAINZ, Nº 6 - 4º B, CP: 39300, TORRELAVEGA, CANTABRIA;;21/04/1995;
2001;PRIMERA;CANTABRA DE AFECTADOS POR LA ALTA TENSION;C/ TALUR, S/N, CP: 39628, PENAGOS, CANTABRIA;;27/04/1995;
2006;PRIMERA;SOCIEDAD MATEMATICA DE PROFESORES DE CANTABRIA;COLEGIO PUBLICO MARIA SANZ DE SAUTUOLA AVENIDA DEL DEPORTE Nº S/N, CP: 39012, SANTANDER, CANTABRIA;133;23/05/1995;
2010;PRIMERA;DE VECINOS DE MALIAÑO;PARQUE DE CROS, S/N, CP: 39600, MALIAÑO, CANTABRIA;;25/05/1995;
2011;PRIMERA;DE PESCA DEPORTIVA SANTOÑA;C/ MARINOS DE SANTOÑA, Nº 8 - 6º C, CP: 39740, SANTOÑA, CANTABRIA;;26/05/1995;
2014;PRIMERA;MORTERA VERDE;Bº LA MAR - URB. EL SARTAL, Nº 13, CP: 39120, MORTERA, CANTABRIA;;19/06/1995;
2015;PRIMERA;BIEN APARECIDA;PARROQUIA BIEN APARECIDA. C/ ALTA, Nº 84, CP: 39008, SANTANDER, CANTABRIA;;19/06/1995;
2016;PRIMERA;AGRUPACION PULSO Y PUA FRESNEDA;CASA DE LA MUSICA DOROTEO LOPEZ REGUERO C/ SAN CIPRIANO S/N, CP: 39400, LOS CORRALES DE BUELNA, CANTABRIA;;21/06/1995;
2017;PRIMERA;CULTURAL DEPORTIVA DE SOTO DE LA MARINA;AVDA. MARQUES DE VALDECILLA Nº 81, CP: 39110, SANTA CRUZ DE BEZANA, CANTABRIA;;21/06/1995;
2020;PRIMERA;MUSICO-CULTURAL  BLOQUE;BARRIO DE SAN ROQUE-ANTIGUAS ESCUELAS, CP: 39777, TARRUEZA, CANTABRIA;;22/06/1995;
2025;PRIMERA;HERMANDAD NUESTRA SEÑORA DEL ROCIO;PARROQUIA DE SAN ROQUE. C/ LA IGLESIA, Nº 1, CP: 39005, SANTANDER, CANTABRIA;;14/07/1995;
2026;PRIMERA;CLUB NAUTICO COMILLAS;C/ EL MUELLE, S/N, CP: 39520, COMILLAS, CANTABRIA;;18/07/1995;
2028;PRIMERA;CULTURAL MUSIFOLK;C/ LAS CAGIGAS, Nº 6 - 3º C, CP: 39011, SANTANDER, CANTABRIA;;10/07/1995;
2029;PRIMERA;PEÑA TAURINA JOSE IGNACIO SANCHEZ;C/ MOTEVIDEO Nº 6 BAJO, CP: 39008, SANTANDER, CANTABRIA;;31/07/1995;
2031;PRIMERA;DE VECINOS TORRES;C/JOSÉ MARÍA CABAÑAS Nº42 BAJO, CP: 39300, TORRES(TORRELAVEGA), CANTABRIA;;02/08/1995;
2035;PRIMERA;CULTURAL Y DEPORTIVA 100 KILOMETROS PEDESTRES INTERNACIONALES DE CANTABRIA;C/ LOS ACEBEDOS, Nº 12 A - 2º IZQ., CP: 39001, SANTANDER, CANTABRIA;;21/08/1995;
2039;PRIMERA;RECREATIVA PUERTO DE ARENILLAS;C/ ALTO DE ARENILLAS, Nº 60 - B, CP: 39798, ISLARES, CANTABRIA;;24/08/1995;
2040;PRIMERA;CANTABRIA ANCESTRAL;C/. LA FRONTAL Nº 37 - SOTO DE CAMPOO, CP: 39211, ESPINILLA - HERMANDAD CAMPOO SUSO, CANTABRIA;;28/08/1995;
2044;PRIMERA;DE MASAJISTAS DE CANTABRIA (ASMACAN);C/ GENERAL DAVILA, Nº 236 A-B BAJO, CP: 39006, SANTANDER, CANTABRIA;;08/09/1995;
2048;PRIMERA;CENTRO DE ESTUDIOS AMBIENTALES;C/ LOS CAÑOS Nº 9, 3º A, CP: 39001, SANTANDER, CANTABRIA;;05/10/1995;
2049;PRIMERA;PARA LA CONSERVACION DE LA ARQUITECTURA TRADICIONAL TAJAMAR;C/ PEDROSO, Nº 9, CP: 39180, NOJA, CANTABRIA;124;16/10/1995;
2051;PRIMERA;OCIO Y CULTURA DE LA UNION GENERAL DE TRABAJADORES DE CANTABRIA;C/- STA. LUCIA Nº 43 - ENTLO C., CP: 39003, SANTANDER, CANTABRIA;;09/10/1995;
2064;PRIMERA;CULTURAL CANTERA, COLECTIVO CANTABRO DE CANTAUTORES;Bº DE LA TORRE, Nº 79 A (MONTE), CP: 39012, SANTANDER, CANTABRIA;;08/11/1995;
2065;PRIMERA;GRUPO TAURINO EL TABANO;Bº LA GERRA, Nº 19 B, CP: 39860, RASINES, CANTABRIA;;09/11/1995;
2071;PRIMERA;GRUPO DE EMPRESA COLUMBIAN;CARRETERA GENERAL GAJANO S/Nº CARRERA  GENERAL GAJANO Nº S/N, GAJANO, CANTABRIA;128;12/12/1995;
2072;PRIMERA;CULTURAL CLUB DE OCIO YEDRA;C/ ESCUELAS DE SOBARZO. Bº SAN PEDRO, S/N, CP: 39627, SOBARZO, CANTABRIA;128;13/12/1995;
2074;PRIMERA;CIRCULO SOLIDARIO DE CANTABRIA;C/ LEALTAD, Nº 14 - 4º, SANTANDER, CANTABRIA;;13/12/1995;
2075;PRIMERA;AMIGOS DE LA RIA DE LA RABIA;RESTAURANTE LA RABIA, CP: 39528, LA RABIA, CANTABRIA;;15/12/1995;
