NumeroRegistro;Sección;Denominación;Domicilio social;Código;Fecha;
6593;PRIMERA;ILUSIONES COMPARTIDAS; CALLE BARRIO PARAYO Nº 1 BLOQUE A, CP: 39479, VIOÑO, CANTABRIA;521;11/05/2018;
6594;PRIMERA;CULTURAL NUEVA CIUDAD; PLAZA MAURO MURIEDAS Nº 6 BLOQUE IZQ. 6º C, CP: 39300, TORRELAVEGA, CANTABRIA;129;14/05/2018;
6595;PRIMERA;"PEÑA TAURINA CULTURAL ""EL DANI"""; CALLE UNIVERSIDAD Nº 1, CP: 39005, SANTANDER, CANTABRIA;923;16/05/2018;
6596;PRIMERA;GRAMPUS; CALLE MARQUÉS DE VILLAPUENTE Nº 9 BLOQUE A 3 A, CP: 39600, MURIEDAS, CANTABRIA;123;16/05/2018;
6597;PRIMERA;eSPORTS CANTABRIA; CALLE ASON Nº 2 3º B, CP: 39300, TORRELAVEGA, CANTABRIA;911;25/05/2018;
6598;PRIMERA;DE VECINOS SAN PABLO DE CUETO; CALLE HERMANOS TONETTI Nº 16, CP: 39012, CUETO, CANTABRIA;129;29/05/2018;
6599;PRIMERA;CLUSTER EMPRESARIAL PARA EL DESARROLLO NERTRA EN CANTABRIA;COLEGIO OFICIAL DE TITULADOS MERCANTILES Y EMPRESARIALES DE CANTABRIA CALLE JESUS DE MONASTERIO Nº 10 4º IZQ., CP: 39002, SANTANDER, CANTABRIA;836;30/05/2018;
6600;PRIMERA;FORO DE EDUCACION CANTABRIA; CALLE SANTA LUCIA Nº 41, CP: 39003, SANTANDER, CANTABRIA;134;04/06/2018;
6601;PRIMERA;NICE. NEUROEDUCACION PARA LA INNOVACION Y CAMBIO EDUCATIVO; CALLE MELITON PEREZ  Nº 1 1º IZQ, CP: 39700, CASTRO-URDIALES, CANTABRIA;134;04/06/2018;
6602;PRIMERA;BEZANATECH ASOCIACION AMIGOS DE LA TECNOLOGIA Y LA INFORMATICA; CALLE RESPUELA Nº 2 BLOQUE J 4º K, CP: 39100, SANTA CRUZ DE BEZANA, CANTABRIA;924;04/06/2018;
6603;PRIMERA;CULTURAL GASTRONOMICA EL BOCARON; CALLE LA FLORIDA Nº 13 4º DCHA., CP: 39200, REINOSA, CANTABRIA;128;06/06/2018;
6604;PRIMERA;SOCIOCULTURAL GASTRONOMICA DEPORTIVA SAN MIGUELUCO; CALLE ALMIRANTE PERO NIÑO Nº 59, CP: 39400, CORRALES (LOS), CANTABRIA;128;07/06/2018;
6605;PRIMERA;FORUM EUROPEO DE ADMINISTRADORES DE LA EDUCACION DE CANTABRIA; CALLE GOMEZ OREÑA Nº 7 1º S, CP: 39003, SANTANDER, CANTABRIA;135;08/06/2018;
6606;PRIMERA;CONTIGO CREANDO;C/ JOSE MARIA DE COSSIO 33, BAJO D, CP: 39011, SANTANDER, CANTABRIA;212;18/06/2014;
6607;PRIMERA;LIENDO CROQUET;CASA MORANTE BARRIO DE HAZAS  Nº 6, CP: 39776, HAZAS, CANTABRIA;;08/06/2018;
6608;PRIMERA;ENTINTADOS; CALLE QUEVIA Nº 8, CP: 39600, MALIAÑO, CANTABRIA;135;12/06/2018;
6609;PRIMERA;CELTICOS MG CANTABRIA; BARRIO CABEZAS Nº 7, CP: 39192, SAN MIGUEL DE MERUELO, CANTABRIA;925;13/06/2018;
